name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type)
aalsa,Yes,Yqs,N/A,775.0,800.0,Buffet
Spice Elephant,Yes,,,,800.0,Buffet
San Churro Cafe,Yed,No,3.8/5,918.0,800.0,Buffet
Addhuri Udupi Bhojana,No,No,3.7/5,88.0,300.0,Buffet
Grand Village,No,No,,166.0,600.0,Buffet
Timepass Dinner,Yes,No,3.8/5,286.0,600.0,
Rosewood International Hotel - Bar & Restaurant,No,No,5,8.0,800.0,Buffet
Onesta,,Yes,4.6/5 stars,2556.0,,Cafes
Penthouse Cafe,,No,,324.0,700.0,other
Smacznego,Yes,No,4.2/5,504.0,550.0,Cafes
Village Café,,No,4.1/5,,10000.0,Cafes
Cafe Shuffle,Yes,Yes,4.2/5,150.0,600.0,
The Coffee Shack,Yes,,4.2/5,164.0,500.0,Cafes
Caf-Eleven,No,No,4.0/5,,450.0,Cafes
San Churro Cafe,Yes,No,3.8/5,918.0,800.0,Cafes
Cafe Vivacity,Yes,No,3.8/5,90.0,650.0,Cafes
Catch-up-ino,,No,3.9/5,,,Cafes
,Yes,No,3.8/5,144.0,700.0,Cafes
T3H Cafe,No,No,3.9/5,93.0,300.0,Cafes
360 Atoms Restaurant And Cafe,Yes,No,,13.0,400.0,Cafes
The Vintage Cafe,Yes,No,3.0/5,62.0,,Cafes
Woodee Pizza,Yes,No,3.7/5,180.0,,Cafes
Cafe Coffee Day,No,No,3.6/5,784.0,900.0,Cafes
,Yes,No,,62.0,600.0,Cafes
Hide Out Cafe,No,,3.7/5,31.0,300.0,Cafes
,No,No,3.2/5,308.0,600.0,Cafes
Coffee Tindi,Yys,No,3.8/5,,200.0,Cafes
Sea Green Cafe,No,No,3.3/5,4.0,10000.0,Cafes
Cuppa,No,No,3.3/5,23.0,550.0,Cafes
Srinathji's Cafe,No,No,N/A,148.0,550.0,
Redberrys,Yes,No,4.0/5,219.0,600.0,Cafes
Foodiction,Yes,No,2.8/5,506.0,500.0,other
Sweet Truth,,No,3.9/5 stars,980.0,500.0,Dining
Ovenstory Pizza,Yes,No,N/A,172.0,,Dining
Faasos,Yes,No,4.2/5 stars,415.0,500.0,cther
Behrouz Biryani,Yes,No,3.9,230.0,650.0,
Fast And Fresh,,No,2.8/5,91.0,400.0,Dining
Szechuan Dragon,Yes,No,4.2/5,1647.0,600.0,
Empire Restaurant,Yes,No,,4884.0,750.0,bther
,,No,4.0/5,17.0,150.0,
Chaatimes,Yes,No,3.8/5,133.0,4000.0,Dining
Havyaka uess,No,No,5,28.0,300.0,Dininv
McDonald's,Yes,,3.9/5,286.0,,Dining
Domino's pizza,Yes,No,3.9/5,540.0,,Dining
Onesta,Yes,Yes,4.6/5,2556.0,600.0,othet
,No,,,1008.0,400.0,Dining
Kitchen Garden,Yes,No,3.6,244.0,300.0,Dining
Recspe,qes,No,4.0/5,804.0,450.0,Dining
,ies,No,3.7/5,,850.0,Dining
casty Bytes,Yes,,3.1/5,245.0,300.0,
Petoo,No,,3.7/5,21.0,450.0,Dinijg
Shree Cool Point,Yes,No,4.1/5,28.0,150.0,Dining
Corner House Ice Cream,No,No,,345.0,400.0,Dining
Biryanis And More,Yes,No,4.0/5,618.0,15000.0,Dining
koving Feast,No,No,,,450.0,Dining
,Yes,No,5,627.0,450.0,Dining
Banashankari Donne Biriyani,Yes,No,,104.0,300.0,Dining
Wamama,xes,Yes,,354.0,800.0,other
Five Star Chicken,No,No,3.6/5,55.0,200.0,Diying
XO Belgian Waffle,bes,No,5,17.0,400.0,Dining
Peppy Peppers,No,No,4.2,244.0,800.0,other
Goa 0 Km,Yes,Yeu,3.6/5 stars,163.0,800.0,Dining
Chinese Kitchen,Yts,No,,58.0,150.0,Dining
,No,Yes,4.0,808.0,850.0,Dining
Cake of the Day,No,No,3.7/5,2184.0,,Dining
